teks,label,panjang_teks,is_noise,is_outlier,teks_normal,teks_stopword,teks_tokenisasi,rasio_panjang_teks,rasio_pos_tagging,rasio_stopword
"Saya adalah asisten berbasis kecerdasan buatan yang dikembangkan oleh OpenAI, dirancang untuk membantu menjawab pertanyaan, memberikan informasi, dan berinteraksi dengan pengguna dalam berbagai topik. Tujuan utama saya adalah membuat percakapan lebih mudah dan lebih menarik, serta membantu menyelesaikan berbagai tugas seperti penulisan, pemrograman, atau sekadar berbagi cerita dan ide.

Meskipun saya tidak memiliki pengalaman atau perasaan seperti manusia, saya dirancang untuk memahami konteks dan menyesuaikan respons sesuai dengan kebutuhan dan gaya percakapan pengguna. Saya berusaha untuk memberikan informasi yang akurat, relevan, dan mendalam, serta menawarkan pengalaman percakapan yang menyenangkan.",1,435,False,False,saya adalah asisten berbasis kecerdasan buatan yang dikembangkan oleh openai dirancang untuk membantu menjawab pertanyaan memberikan informasi dan berinteraksi dengan pengguna dalam berbagai topik tujuan utama saya adalah membuat percakapan lebih mudah dan lebih menarik serta membantu menyelesaikan berbagai tugas seperti penulisan pemrograman atau sekadar berbagi cerita dan ide meskipun saya tidak memiliki pengalaman atau perasaan seperti manusia saya dirancang untuk memahami konteks dan menyesuaikan respons sesuai dengan kebutuhan dan gaya percakapan pengguna saya berusaha untuk memberikan informasi yang akurat relevan dan mendalam serta menawarkan pengalaman percakapan yang menyenangkan,asisten berbasis kecerdasan buatan dikembangkan openai dirancang membantu informasi berinteraksi pengguna topik tujuan utama percakapan mudah menarik membantu menyelesaikan tugas penulisan pemrograman berbagi cerita ide memiliki pengalaman perasaan manusia dirancang memahami konteks menyesuaikan respons sesuai kebutuhan gaya percakapan pengguna berusaha informasi akurat relevan mendalam menawarkan pengalaman percakapan menyenangkan,"['asisten', 'berbasis', 'kecerdasan', 'buatan', 'dikembangkan', 'openai', 'dirancang', 'membantu', 'informasi', 'berinteraksi', 'pengguna', 'topik', 'tujuan', 'utama', 'percakapan', 'mudah', 'menarik', 'membantu', 'menyelesaikan', 'tugas', 'penulisan', 'pemrograman', 'berbagi', 'cerita', 'ide', 'memiliki', 'pengalaman', 'perasaan', 'manusia', 'dirancang', 'memahami', 'konteks', 'menyesuaikan', 'respons', 'sesuai', 'kebutuhan', 'gaya', 'percakapan', 'pengguna', 'berusaha', 'informasi', 'akurat', 'relevan', 'mendalam', 'menawarkan', 'pengalaman', 'percakapan', 'menyenangkan']",1,0.6066666949555299,0.3989975645053122
"Untuk membedakan antara **kata benda**, **kata kerja**, dan **kata sifat**, kita bisa melihat fungsi dan peran kata tersebut dalam kalimat.

1. **Kata Benda (Nomina)**: Kata yang menunjukkan orang, tempat, benda, atau konsep. Biasanya, kata benda menjawab pertanyaan ""apa?"".
   - **Contoh**: *Meja*, *rumah*, *kemerdekaan*.
     - Kalimat: *Saya membeli **meja** baru.*

2. **Kata Kerja (Verba)**: Kata yang menunjukkan suatu tindakan atau keadaan. Biasanya, kata kerja menjawab pertanyaan ""apa yang dilakukan?"" atau ""bagaimana keadaan?"".
   - **Contoh**: *Makan*, *berlari*, *tidur*.
     - Kalimat: *Dia **berlari** ke sekolah.*

3. **Kata Sifat (Adjektiva)**: Kata yang menjelaskan atau memberi sifat pada kata benda. Biasanya, kata sifat menjawab pertanyaan ""bagaimana?"" atau ""seperti apa?"".
   - **Contoh**: *Cantik*, *besar*, *cepat*.
     - Kalimat: *Dia memiliki rambut yang **cantik**.*

Dengan cara ini, kita bisa membedakan kata benda, kata kerja, dan kata sifat berdasarkan fungsi dan makna dalam kalimat.",1,363,False,False,untuk membedakan antara kata benda kata kerja dan kata sifat kita bisa melihat fungsi dan peran kata tersebut dalam kalimat kata benda nomina kata yang menunjukkan orang tempat benda atau konsep biasanya kata benda menjawab pertanyaan apa contoh meja rumah kemerdekaan kalimat saya membeli meja baru kata kerja verba kata yang menunjukkan suatu tindakan atau keadaan biasanya kata kerja menjawab pertanyaan apa yang dilakukan atau bagaimana keadaan contoh makan berlari tidur kalimat dia berlari ke sekolah kata sifat adjektiva kata yang menjelaskan atau memberi sifat pada kata benda biasanya kata sifat menjawab pertanyaan bagaimana atau seperti apa contoh cantik besar cepat kalimat dia memiliki rambut yang cantik dengan cara ini kita bisa membedakan kata benda kata kerja dan kata sifat berdasarkan fungsi dan makna dalam kalimat,membedakan benda kerja sifat fungsi peran kalimat benda nomina orang benda konsep benda contoh meja rumah kemerdekaan kalimat membeli meja kerja verba tindakan kerja contoh makan berlari tidur kalimat berlari sekolah sifat adjektiva sifat benda sifat contoh cantik cepat kalimat memiliki rambut cantik membedakan benda kerja sifat berdasarkan fungsi makna kalimat,"['membedakan', 'benda', 'kerja', 'sifat', 'fungsi', 'peran', 'kalimat', 'benda', 'nomina', 'orang', 'benda', 'konsep', 'benda', 'contoh', 'meja', 'rumah', 'kemerdekaan', 'kalimat', 'membeli', 'meja', 'kerja', 'verba', 'tindakan', 'kerja', 'contoh', 'makan', 'berlari', 'tidur', 'kalimat', 'berlari', 'sekolah', 'sifat', 'adjektiva', 'sifat', 'benda', 'sifat', 'contoh', 'cantik', 'cepat', 'kalimat', 'memiliki', 'rambut', 'cantik', 'membedakan', 'benda', 'kerja', 'sifat', 'berdasarkan', 'fungsi', 'makna', 'kalimat']",1,0.7584498834498833,0.24196816208393643
"Jika kita menjatuhkan batu dan kertas dari ketinggian yang sama di dalam ruangan hampa udara, **kedua benda tersebut akan menyentuh lantai pada waktu yang sama**.

Ini terjadi karena di dalam ruangan hampa udara tidak ada udara yang dapat menahan atau memperlambat gerakan benda. Di luar hampa udara, perbedaan dalam bentuk dan berat antara batu dan kertas akan menyebabkan kertas jatuh lebih lambat karena hambatan udara (gaya gesek udara). Namun, dalam hampa udara, hambatan udara tidak ada, sehingga kedua benda akan mengalami percepatan yang sama akibat gravitasi, yaitu sekitar 9,8 m/sÂ². 

Dengan demikian, meskipun batu dan kertas memiliki bentuk dan massa yang berbeda, dalam kondisi hampa udara, keduanya akan jatuh dengan kecepatan yang sama dan menyentuh lantai pada waktu yang bersamaan.",1,428,False,False,jika kita menjatuhkan batu dan kertas dari ketinggian yang sama di dalam ruangan hampa udara kedua benda tersebut akan menyentuh lantai pada waktu yang sama ini terjadi karena di dalam ruangan hampa udara tidak ada udara yang dapat menahan atau memperlambat gerakan benda di luar hampa udara perbedaan dalam bentuk dan berat antara batu dan kertas akan menyebabkan kertas jatuh lebih lambat karena hambatan udara gaya gesek udara namun dalam hampa udara hambatan udara tidak ada sehingga kedua benda akan mengalami percepatan yang sama akibat gravitasi yaitu sekitar ms dengan demikian meskipun batu dan kertas memiliki bentuk dan massa yang berbeda dalam kondisi hampa udara keduanya akan jatuh dengan kecepatan yang sama dan menyentuh lantai pada waktu yang bersamaan,menjatuhkan batu kertas ketinggian ruangan hampa udara benda menyentuh lantai ruangan hampa udara udara menahan memperlambat gerakan benda hampa udara perbedaan bentuk berat batu kertas menyebabkan kertas jatuh lambat hambatan udara gaya gesek udara hampa udara hambatan udara benda mengalami percepatan akibat gravitasi ms batu kertas memiliki bentuk massa berbeda kondisi hampa udara jatuh kecepatan menyentuh lantai bersamaan,"['menjatuhkan', 'batu', 'kertas', 'ketinggian', 'ruangan', 'hampa', 'udara', 'benda', 'menyentuh', 'lantai', 'ruangan', 'hampa', 'udara', 'udara', 'menahan', 'memperlambat', 'gerakan', 'benda', 'hampa', 'udara', 'perbedaan', 'bentuk', 'berat', 'batu', 'kertas', 'menyebabkan', 'kertas', 'jatuh', 'lambat', 'hambatan', 'udara', 'gaya', 'gesek', 'udara', 'hampa', 'udara', 'hambatan', 'udara', 'benda', 'mengalami', 'percepatan', 'akibat', 'gravitasi', 'ms', 'batu', 'kertas', 'memiliki', 'bentuk', 'massa', 'berbeda', 'kondisi', 'hampa', 'udara', 'jatuh', 'kecepatan', 'menyentuh', 'lantai', 'bersamaan']",1,0.6084090275666362,0.35980166544091474
"Salah satu contoh kerajinan tradisional dari Indonesia adalah **tenun ikat** dari **Nusa Tenggara Timur (NTT)**. 

**Bahan baku** utama untuk membuat tenun ikat adalah **benang kapas** atau **benang sutra**. Proses pembuatan tenun ikat ini melibatkan teknik khusus di mana benang-benang dirangkai dengan pola tertentu menggunakan pewarna alami atau sintetis sebelum ditenun menjadi kain. Kain tenun ikat ini sering kali dihiasi dengan motif tradisional yang menggambarkan budaya, mitos, atau kehidupan masyarakat setempat.

Kain tenun ikat NTT sangat dikenal karena keindahan dan kekayaan motifnya, serta ketelitian dalam proses pembuatannya yang memerlukan waktu dan keterampilan tinggi dari para pengrajin. Tenun ikat ini sering digunakan dalam upacara adat, pakaian sehari-hari, atau bahkan menjadi barang koleksi yang bernilai tinggi.",1,522,False,False,salah satu contoh kerajinan tradisional dari indonesia adalah tenun ikat dari nusa tenggara timur ntt bahan baku utama untuk membuat tenun ikat adalah benang kapas atau benang sutra proses pembuatan tenun ikat ini melibatkan teknik khusus di mana benangbenang dirangkai dengan pola tertentu menggunakan pewarna alami atau sintetis sebelum ditenun menjadi kain kain tenun ikat ini sering kali dihiasi dengan motif tradisional yang menggambarkan budaya mitos atau kehidupan masyarakat setempat kain tenun ikat ntt sangat dikenal karena keindahan dan kekayaan motifnya serta ketelitian dalam proses pembuatannya yang memerlukan waktu dan keterampilan tinggi dari para pengrajin tenun ikat ini sering digunakan dalam upacara adat pakaian seharihari atau bahkan menjadi barang koleksi yang bernilai tinggi,salah contoh kerajinan tradisional indonesia tenun ikat nusa tenggara timur ntt bahan baku utama tenun ikat benang kapas benang sutra proses pembuatan tenun ikat melibatkan teknik khusus benangbenang dirangkai pola pewarna alami sintetis ditenun kain kain tenun ikat kali dihiasi motif tradisional menggambarkan budaya mitos kehidupan masyarakat kain tenun ikat ntt dikenal keindahan kekayaan motifnya ketelitian proses pembuatannya keterampilan pengrajin tenun ikat upacara adat pakaian seharihari barang koleksi bernilai,"['salah', 'contoh', 'kerajinan', 'tradisional', 'indonesia', 'tenun', 'ikat', 'nusa', 'tenggara', 'timur', 'ntt', 'bahan', 'baku', 'utama', 'tenun', 'ikat', 'benang', 'kapas', 'benang', 'sutra', 'proses', 'pembuatan', 'tenun', 'ikat', 'melibatkan', 'teknik', 'khusus', 'benangbenang', 'dirangkai', 'pola', 'pewarna', 'alami', 'sintetis', 'ditenun', 'kain', 'kain', 'tenun', 'ikat', 'kali', 'dihiasi', 'motif', 'tradisional', 'menggambarkan', 'budaya', 'mitos', 'kehidupan', 'masyarakat', 'kain', 'tenun', 'ikat', 'ntt', 'dikenal', 'keindahan', 'kekayaan', 'motifnya', 'ketelitian', 'proses', 'pembuatannya', 'keterampilan', 'pengrajin', 'tenun', 'ikat', 'upacara', 'adat', 'pakaian', 'seharihari', 'barang', 'koleksi', 'bernilai']",1,0.6290118463625927,0.3067359557952901
"Menurut saya, kebahagiaan adalah perasaan damai dan puas yang datang dari dalam diri, bukan hanya dari pencapaian atau hal-hal materi. Itu adalah momen ketika hati terasa ringan, penuh syukur, dan bisa menikmati hidup apa adanya, baik dalam keadaan sederhana maupun saat mencapai sesuatu yang besar.  

Kebahagiaan juga bukan sesuatu yang bisa diukur dengan standar orang lain. Ada yang merasa bahagia saat mencapai impian besar, tetapi ada juga yang menemukan kebahagiaan dalam hal-hal kecil, seperti menikmati secangkir kopi di pagi hari, berbincang dengan orang terdekat, atau sekadar melihat langit senja yang indah.  

Bagi saya, kebahagiaan juga erat kaitannya dengan keseimbanganâ€”antara bekerja keras dan menikmati hidup, antara memberi dan menerima, serta antara harapan dan penerimaan terhadap apa yang terjadi. Yang paling penting, kebahagiaan sejati datang ketika kita bisa berdamai dengan diri sendiri dan mensyukuri setiap momen yang kita jalani.  

Kalau menurut kamu, kebahagiaan itu apa? ðŸ˜Š",1,443,False,False,menurut saya kebahagiaan adalah perasaan damai dan puas yang datang dari dalam diri bukan hanya dari pencapaian atau halhal materi itu adalah momen ketika hati terasa ringan penuh syukur dan bisa menikmati hidup apa adanya baik dalam keadaan sederhana maupun saat mencapai sesuatu yang besar kebahagiaan juga bukan sesuatu yang bisa diukur dengan standar orang lain ada yang merasa bahagia saat mencapai impian besar tetapi ada juga yang menemukan kebahagiaan dalam halhal kecil seperti menikmati secangkir kopi di pagi hari berbincang dengan orang terdekat atau sekadar melihat langit senja yang indah bagi saya kebahagiaan juga erat kaitannya dengan keseimbanganantara bekerja keras dan menikmati hidup antara memberi dan menerima serta antara harapan dan penerimaan terhadap apa yang terjadi yang paling penting kebahagiaan sejati datang ketika kita bisa berdamai dengan diri sendiri dan mensyukuri setiap momen yang kita jalani kalau menurut kamu kebahagiaan itu apa,kebahagiaan perasaan damai puas pencapaian halhal materi momen hati ringan penuh syukur menikmati hidup sederhana mencapai kebahagiaan diukur standar orang bahagia mencapai impian menemukan kebahagiaan halhal menikmati secangkir kopi pagi berbincang orang terdekat langit senja indah kebahagiaan erat kaitannya keseimbanganantara keras menikmati hidup menerima harapan penerimaan kebahagiaan sejati berdamai mensyukuri momen jalani kebahagiaan,"['kebahagiaan', 'perasaan', 'damai', 'puas', 'pencapaian', 'halhal', 'materi', 'momen', 'hati', 'ringan', 'penuh', 'syukur', 'menikmati', 'hidup', 'sederhana', 'mencapai', 'kebahagiaan', 'diukur', 'standar', 'orang', 'bahagia', 'mencapai', 'impian', 'menemukan', 'kebahagiaan', 'halhal', 'menikmati', 'secangkir', 'kopi', 'pagi', 'berbincang', 'orang', 'terdekat', 'langit', 'senja', 'indah', 'kebahagiaan', 'erat', 'kaitannya', 'keseimbanganantara', 'keras', 'menikmati', 'hidup', 'menerima', 'harapan', 'penerimaan', 'kebahagiaan', 'sejati', 'berdamai', 'mensyukuri', 'momen', 'jalani', 'kebahagiaan']",1,0.5519272394272394,0.31007776593883685
"Aku adalah asisten virtual yang siap membantu kamu dengan berbagai halâ€”mulai dari berbagi cerita, berdiskusi tentang kehidupan, memberi informasi, hingga membantu menulis atau menyelesaikan tugas tertentu. Aku suka berbincang dengan cara yang santai dan hangat, jadi jangan ragu untuk ngobrol apa saja!  

Kalau kamu mau, aku juga bisa menyesuaikan cara bicara dan topik yang lebih sesuai dengan gaya kamu. Jadi, ceritakan sedikit tentang dirimu! Apa yang kamu suka? Apa yang sedang kamu pikirkan akhir-akhir ini? ðŸ˜Š",1,239,False,False,aku adalah asisten virtual yang siap membantu kamu dengan berbagai halmulai dari berbagi cerita berdiskusi tentang kehidupan memberi informasi hingga membantu menulis atau menyelesaikan tugas tertentu aku suka berbincang dengan cara yang santai dan hangat jadi jangan ragu untuk ngobrol apa saja kalau kamu mau aku juga bisa menyesuaikan cara bicara dan topik yang lebih sesuai dengan gaya kamu jadi ceritakan sedikit tentang dirimu apa yang kamu suka apa yang sedang kamu pikirkan akhirakhir ini,asisten virtual membantu halmulai berbagi cerita berdiskusi kehidupan informasi membantu menulis menyelesaikan tugas suka berbincang santai hangat ragu ngobrol menyesuaikan bicara topik sesuai gaya ceritakan dirimu suka pikirkan akhirakhir,"['asisten', 'virtual', 'membantu', 'halmulai', 'berbagi', 'cerita', 'berdiskusi', 'kehidupan', 'informasi', 'membantu', 'menulis', 'menyelesaikan', 'tugas', 'suka', 'berbincang', 'santai', 'hangat', 'ragu', 'ngobrol', 'menyesuaikan', 'bicara', 'topik', 'sesuai', 'gaya', 'ceritakan', 'dirimu', 'suka', 'pikirkan', 'akhirakhir']",1,0.5208637516329824,0.26594205129784154
"Cara membedakan antara **kata benda (nomina)**, **kata kerja (verba)**, dan **kata sifat (adjektiva)** dapat dilihat dari fungsi dan maknanya dalam sebuah kalimat.  

### 1. **Kata Benda (Nomina)**  
   - Kata yang digunakan untuk menyebut nama orang, tempat, benda, atau konsep.  
   - Biasanya bisa diberi kata ""ini"" atau ""itu"" di depannya.  
   - **Contoh:** *Meja*  
     - ""Meja ini terbuat dari kayu.""  

### 2. **Kata Kerja (Verba)**  
   - Kata yang menunjukkan tindakan, aktivitas, atau keadaan suatu subjek.  
   - Bisa diberi kata ""sedang"" atau ""akan"" di depannya.  
   - **Contoh:** *Berlari*  
     - ""Dia sedang berlari di taman.""  

### 3. **Kata Sifat (Adjektiva)**  
   - Kata yang menjelaskan sifat atau keadaan dari kata benda.  
   - Bisa diberi kata ""sangat"" atau ""sekali"" di depannya.  
   - **Contoh:** *Cantik*  
     - ""Dia memiliki senyuman yang sangat cantik.""  

Jadi, jika kamu menemukan sebuah kata dan ingin mengidentifikasinya, coba gunakan trik di atas! Butuh contoh tambahan? ðŸ˜Š",1,374,False,False,cara membedakan antara kata benda nomina kata kerja verba dan kata sifat adjektiva dapat dilihat dari fungsi dan maknanya dalam sebuah kalimat kata benda nomina kata yang digunakan untuk menyebut nama orang tempat benda atau konsep biasanya bisa diberi kata ini atau itu di depannya contoh meja meja ini terbuat dari kayu kata kerja verba kata yang menunjukkan tindakan aktivitas atau keadaan suatu subjek bisa diberi kata sedang atau akan di depannya contoh berlari dia sedang berlari di taman kata sifat adjektiva kata yang menjelaskan sifat atau keadaan dari kata benda bisa diberi kata sangat atau sekali di depannya contoh cantik dia memiliki senyuman yang sangat cantik jadi jika kamu menemukan sebuah kata dan ingin mengidentifikasinya coba gunakan trik di atas butuh contoh tambahan,membedakan benda nomina kerja verba sifat adjektiva fungsi maknanya kalimat benda nomina menyebut nama orang benda konsep depannya contoh meja meja terbuat kayu kerja verba tindakan aktivitas subjek depannya contoh berlari berlari taman sifat adjektiva sifat benda depannya contoh cantik memiliki senyuman cantik menemukan mengidentifikasinya coba trik butuh contoh tambahan,"['membedakan', 'benda', 'nomina', 'kerja', 'verba', 'sifat', 'adjektiva', 'fungsi', 'maknanya', 'kalimat', 'benda', 'nomina', 'menyebut', 'nama', 'orang', 'benda', 'konsep', 'depannya', 'contoh', 'meja', 'meja', 'terbuat', 'kayu', 'kerja', 'verba', 'tindakan', 'aktivitas', 'subjek', 'depannya', 'contoh', 'berlari', 'berlari', 'taman', 'sifat', 'adjektiva', 'sifat', 'benda', 'depannya', 'contoh', 'cantik', 'memiliki', 'senyuman', 'cantik', 'menemukan', 'mengidentifikasinya', 'coba', 'trik', 'butuh', 'contoh', 'tambahan']",1,0.6787798276285119,0.24901239879532222
"Salah satu contoh **kerajinan tradisional Indonesia** yang terkenal adalah **Batik** dari Jawa.  

### **ðŸ–Œï¸ Kerajinan: Batik**  
**Daerah Asal:** Jawa (terutama Yogyakarta, Solo, dan Pekalongan)  

### **ðŸ§µ Bahan Baku:**  
- **Kain mori** (kain katun atau sutra sebagai media batik)  
- **Malam/lilin** (digunakan untuk menutupi bagian kain yang tidak ingin diwarnai)  
- **Canting** (alat untuk menggambar motif dengan malam)  
- **Pewarna alami atau sintetis**  

Batik merupakan seni lukis kain yang dibuat dengan teknik **malam/lilin batik** dan memiliki berbagai motif yang kaya makna. Batik juga telah diakui oleh **UNESCO sebagai Warisan Budaya Takbenda** pada tahun 2009.  

Kalau dari daerahmu sendiri, ada kerajinan tradisional apa yang khas? ðŸ˜Š",1,414,False,False,salah satu contoh kerajinan tradisional indonesia yang terkenal adalah batik dari jawa kerajinan batik daerah asal jawa terutama yogyakarta solo dan pekalongan bahan baku kain mori kain katun atau sutra sebagai media batik malamlilin digunakan untuk menutupi bagian kain yang tidak ingin diwarnai canting alat untuk menggambar motif dengan malam pewarna alami atau sintetis batik merupakan seni lukis kain yang dibuat dengan teknik malamlilin batik dan memiliki berbagai motif yang kaya makna batik juga telah diakui oleh unesco sebagai warisan budaya takbenda pada tahun kalau dari daerahmu sendiri ada kerajinan tradisional apa yang khas,salah contoh kerajinan tradisional indonesia terkenal batik jawa kerajinan batik daerah jawa yogyakarta solo pekalongan bahan baku kain mori kain katun sutra media batik malamlilin menutupi kain diwarnai canting alat menggambar motif malam pewarna alami sintetis batik seni lukis kain teknik malamlilin batik memiliki motif kaya makna batik diakui unesco warisan budaya takbenda daerahmu kerajinan tradisional khas,"['salah', 'contoh', 'kerajinan', 'tradisional', 'indonesia', 'terkenal', 'batik', 'jawa', 'kerajinan', 'batik', 'daerah', 'jawa', 'yogyakarta', 'solo', 'pekalongan', 'bahan', 'baku', 'kain', 'mori', 'kain', 'katun', 'sutra', 'media', 'batik', 'malamlilin', 'menutupi', 'kain', 'diwarnai', 'canting', 'alat', 'menggambar', 'motif', 'malam', 'pewarna', 'alami', 'sintetis', 'batik', 'seni', 'lukis', 'kain', 'teknik', 'malamlilin', 'batik', 'memiliki', 'motif', 'kaya', 'makna', 'batik', 'diakui', 'unesco', 'warisan', 'budaya', 'takbenda', 'daerahmu', 'kerajinan', 'tradisional', 'khas']",1,0.6044340933039565,0.3323815856377361
"Saat pertama kali mencapai sebuah prestasi yang sangat berarti, rasanya seperti campuran antara kebanggaan yang luar biasa dan rasa syukur yang mendalam. Ada kepuasan batin karena usaha yang selama ini dilakukan akhirnya membuahkan hasil. Namun, di balik itu semua, juga ada rasa cemas karena prestasi tersebut mengingatkan saya pada tanggung jawab yang lebih besar ke depan. Sebuah rasa haru, tapi juga semangat baru untuk terus berusaha dan berkembang lebih baik lagi.",1,154,False,False,saat pertama kali mencapai sebuah prestasi yang sangat berarti rasanya seperti campuran antara kebanggaan yang luar biasa dan rasa syukur yang mendalam ada kepuasan batin karena usaha yang selama ini dilakukan akhirnya membuahkan hasil namun di balik itu semua juga ada rasa cemas karena prestasi tersebut mengingatkan saya pada tanggung jawab yang lebih besar ke depan sebuah rasa haru tapi juga semangat baru untuk terus berusaha dan berkembang lebih baik lagi,kali mencapai prestasi campuran kebanggaan syukur mendalam kepuasan batin usaha membuahkan hasil cemas prestasi tanggung haru semangat berusaha berkembang,"['kali', 'mencapai', 'prestasi', 'campuran', 'kebanggaan', 'syukur', 'mendalam', 'kepuasan', 'batin', 'usaha', 'membuahkan', 'hasil', 'cemas', 'prestasi', 'tanggung', 'haru', 'semangat', 'berusaha', 'berkembang']",0,0.5554004589160839,0.2606033619058221
"Saya pernah berada dalam situasi di mana saya harus berpamitan dengan teman-teman lama karena harus pindah ke tempat baru untuk pekerjaan. Rasanya sangat sedih karena akan berpisah dengan orang-orang yang sudah menjadi bagian dari hidup saya, tetapi di sisi lain saya merasa bahagia karena ini adalah kesempatan baru yang sangat saya nantikan. Ada perasaan berat di hati karena kehilangan, namun juga ada rasa optimisme dan semangat untuk memulai babak baru.",1,167,False,False,saya pernah berada dalam situasi di mana saya harus berpamitan dengan temanteman lama karena harus pindah ke tempat baru untuk pekerjaan rasanya sangat sedih karena akan berpisah dengan orangorang yang sudah menjadi bagian dari hidup saya tetapi di sisi lain saya merasa bahagia karena ini adalah kesempatan baru yang sangat saya nantikan ada perasaan berat di hati karena kehilangan namun juga ada rasa optimisme dan semangat untuk memulai babak baru,situasi berpamitan temanteman pindah pekerjaan sedih berpisah orangorang hidup sisi bahagia kesempatan nantikan perasaan berat hati kehilangan optimisme semangat babak,"['situasi', 'berpamitan', 'temanteman', 'pindah', 'pekerjaan', 'sedih', 'berpisah', 'orangorang', 'hidup', 'sisi', 'bahagia', 'kesempatan', 'nantikan', 'perasaan', 'berat', 'hati', 'kehilangan', 'optimisme', 'semangat', 'babak']",0,0.5310113406330511,0.2621707670043415
